//升级数据表																						
//ID==级别																						
人物等级	升到下一级所需经验值	生命	内力	体力	生命恢复力	内力恢复力	体力恢复力	外功	内功	外防	内防	身法	杀气	气运	冲穴点	悟性	记性	根骨	气血循环当前值	气血循环最大值	资质 	血量等级限制
252	76908795541 	10625	5110	5280	31	31	31	2440	2440	2620	2620	1270	50	20	0	0	64	64	50	50	252	100000
253	79896449862 	10745	5150	5330	32	32	32	2470	2470	2670	2670	1285	50	20	0	0	64	64	50	50	253	100000
254	82884104183 	10865	5190	5380	33	33	33	2500	2500	2720	2720	1300	50	20	0	0	64	64	50	50	254	100000
255	85871758504 	10985	5230	5430	34	34	34	2530	2530	2770	2770	1315	50	20	0	0	64	64	50	50	255	100000
256	88859412825 	11105	5270	5480	35	35	35	2560	2560	2820	2820	1330	50	20	0	0	64	64	50	50	256	100000
257	91847067146 	11225	5310	5530	36	36	36	2590	2590	2870	2870	1345	50	20	0	0	64	64	50	50	257	100000
258	94834721467 	11345	5350	5580	37	37	37	2620	2620	2920	2920	1360	50	20	0	0	64	64	50	50	258	100000
259	97822375788 	11465	5390	5630	38	38	38	2650	2650	2970	2970	1375	50	20	0	0	64	64	50	50	259	100000
260	101000000000 	11585	5430	5680	39	39	39	2680	2680	3020	3020	1390	50	20	0	0	64	64	50	50	260	100000
261	104000000000 	11705	5470	5730	40	40	40	2710	2710	3070	3070	1405	50	20	0	0	64	64	50	50	261	100000
262	107000000000 	11825	5510	5780	41	41	41	2740	2740	3120	3120	1420	50	20	0	0	64	64	50	50	262	100000
263	110000000000 	11945	5550	5830	42	42	42	2770	2770	3170	3170	1435	50	20	0	0	64	64	50	50	263	100000
264	113000000000 	12065	5590	5880	43	43	43	2800	2800	3220	3220	1450	50	20	0	0	64	64	50	50	264	100000
265	116000000000 	12185	5630	5930	44	44	44	2830	2830	3270	3270	1465	50	20	0	0	64	64	50	50	265	100000
266	119000000000 	12305	5670	5980	45	45	45	2860	2860	3320	3320	1480	50	20	0	0	64	64	50	50	266	100000
267	122000000000 	12425	5710	6030	46	46	46	2890	2890	3370	3370	1495	50	20	0	0	64	64	50	50	267	100000
268	125000000000 	12545	5750	6080	47	47	47	2920	2920	3420	3420	1510	50	20	0	0	64	64	50	50	268	100000
269	128000000000 	12665	5790	6130	48	48	48	2950	2950	3470	3470	1525	50	20	0	0	64	64	50	50	269	100000
270	131000000000 	12785	5830	6180	49	49	49	2980	2980	3520	3520	1540	50	20	0	0	64	64	50	50	270	100000
271	134000000000 	12905	5870	6230	50	50	50	3010	3010	3570	3570	1555	50	20	0	0	64	64	50	50	271	100000
272	137000000000 	13025	5910	6280	51	51	51	3040	3040	3620	3620	1570	50	20	0	0	64	64	50	50	272	100000
273	140000000000 	13145	5950	6330	52	52	52	3070	3070	3670	3670	1585	50	20	0	0	64	64	50	50	273	100000
274	143000000000 	13265	5990	6380	53	53	53	3100	3100	3720	3720	1600	50	20	0	0	64	64	50	50	274	100000
275	146000000000 	13385	6030	6430	54	54	54	3130	3130	3770	3770	1615	50	20	0	0	64	64	50	50	275	100000
276	149000000000 	13505	6070	6480	55	55	55	3160	3160	3820	3820	1630	50	20	0	0	64	64	50	50	276	100000
277	152000000000 	13625	6110	6530	56	56	56	3190	3190	3870	3870	1645	50	20	0	0	64	64	50	50	277	100000
278	155000000000 	13745	6150	6580	57	57	57	3220	3220	3920	3920	1660	50	20	0	0	64	64	50	50	278	100000
279	158000000000 	13865	6190	6630	58	58	58	3250	3250	3970	3970	1675	50	20	0	0	64	64	50	50	279	100000
280	163000000000 	13985	6230	6680	59	59	59	3280	3280	4020	4020	1690	50	20	0	0	64	64	50	50	280	100000
281	172000000000 	14105	6270	6730	60	60	60	3330	3330	4050	4050	1705	50	20	0	0	64	64	50	50	281	100000
282	181000000000 	14225	6310	6780	60	60	60	3380	3380	4080	4080	1720	50	20	0	0	64	64	50	50	282	100000
283	190000000000 	14345	6350	6830	60	60	60	3430	3430	4110	4110	1735	50	20	0	0	64	64	50	50	283	100000
284	199000000000 	14465	6390	6880	60	60	60	3480	3480	4140	4140	1750	50	20	0	0	64	64	50	50	284	100000
285	208000000000 	14585	6430	6930	60	60	60	3530	3530	4170	4170	1765	50	20	0	0	64	64	50	50	285	100000
286	217000000000 	14705	6470	6980	60	60	60	3580	3580	4200	4200	1780	50	20	0	0	64	64	50	50	286	100000
287	226000000000 	14825	6510	7030	60	60	60	3630	3630	4230	4230	1795	50	20	0	0	64	64	50	50	287	100000
288	235000000000 	14945	6550	7080	60	60	60	3680	3680	4260	4260	1810	50	20	0	0	64	64	50	50	288	100000
289	244000000000 	15065	6590	7130	60	60	60	3730	3730	4290	4290	1825	50	20	0	0	64	64	50	50	289	100000
290	253000000000 	15185	6630	7180	60	60	60	3780	3780	4320	4320	1840	50	20	0	0	64	64	50	50	290	100000
291	262000000000 	15305	6670	7230	60	60	60	3830	3830	4350	4350	1855	50	20	0	0	64	64	50	50	291	100000
292	271000000000 	15425	6710	7280	60	60	60	3880	3880	4380	4380	1870	50	20	0	0	64	64	50	50	292	100000
293	280000000000 	15545	6750	7330	60	60	60	3930	3930	4410	4410	1885	50	20	0	0	64	64	50	50	293	100000
294	289000000000 	15665	6790	7380	60	60	60	3980	3980	4440	4440	1900	50	20	0	0	64	64	50	50	294	100000
295	298000000000 	15785	6830	7430	60	60	60	4030	4030	4470	4470	1915	50	20	0	0	64	64	50	50	295	100000
296	307000000000 	15905	6870	7480	60	60	60	4080	4080	4500	4500	1930	50	20	0	0	64	64	50	50	296	100000
297	316000000000 	16025	6910	7530	60	60	60	4130	4130	4530	4530	1945	50	20	0	0	64	64	50	50	297	100000
298	325000000000 	16145	6950	7580	60	60	60	4180	4180	4560	4560	1960	50	20	0	0	64	64	50	50	298	100000
299	334000000000 	16265	6990	7630	60	60	60	4230	4230	4590	4590	1975	50	20	0	0	64	64	50	50	299	100000
300	343000000000 	16385	7030	7680	60	60	60	4280	4280	4620	4620	1990	50	20	0	0	64	64	50	50	300	150000
301	352000000000 	16505	7070	7730	60	60	60	4330	4330	4650	4650	2005	50	20	0	0	64	64	50	50	301	150000
302	361000000000 	16625	7110	7780	60	60	60	4380	4380	4680	4680	2020	50	20	0	0	64	64	50	50	302	150000
303	370000000000 	16745	7150	7830	60	60	60	4430	4430	4710	4710	2035	50	20	0	0	64	64	50	50	303	150000
304	379000000000 	16865	7190	7880	60	60	60	4480	4480	4740	4740	2050	50	20	0	0	64	64	50	50	304	150000
305	380000000000 	16985	7230	7930	60	60	60	4530	4530	4770	4770	2065	50	20	0	0	64	64	50	50	305	150000
306	381500000000 	17105	7270	7980	60	60	60	4580	4580	4800	4800	2080	50	20	0	0	64	64	50	50	306	150000
307	383000000000 	17225	7310	8030	60	60	60	4630	4630	4830	4830	2095	50	20	0	0	64	64	50	50	307	150000
308	384500000000 	17345	7350	8080	60	60	60	4680	4680	4860	4860	2110	50	20	0	0	64	64	50	50	308	150000
309	386000000000 	17465	7390	8130	60	60	60	4730	4730	4890	4890	2125	50	20	0	0	64	64	50	50	309	150000
310	387500000000 	17585	7430	8180	60	60	60	4780	4780	4920	4920	2140	50	20	0	0	64	64	50	50	310	150000
311	389000000000 	17705	7470	8230	60	60	60	4830	4830	4950	4950	2155	50	20	0	0	64	64	50	50	311	150000
312	390500000000 	17825	7510	8280	60	60	60	4880	4880	4980	4980	2170	50	20	0	0	64	64	50	50	312	150000
313	392000000000 	17945	7550	8330	60	60	60	4930	4930	5010	5010	2185	50	20	0	0	64	64	50	50	313	150000
314	393500000000 	18065	7590	8380	60	60	60	4980	4980	5040	5040	2200	50	20	0	0	64	64	50	50	314	150000
315	395000000000 	18185	7630	8430	60	60	60	5030	5030	5070	5070	2215	50	20	0	0	64	64	50	50	315	150000
316	396500000000 	18305	7670	8480	60	60	60	5080	5080	5100	5100	2230	50	20	0	0	64	64	50	50	316	150000
317	398000000000 	18425	7710	8530	60	60	60	5130	5130	5130	5130	2245	50	20	0	0	64	64	50	50	317	150000
318	399500000000 	18545	7750	8580	60	60	60	5180	5180	5160	5160	2260	50	20	0	0	64	64	50	50	318	150000
319	400000000000 	18665	7790	8630	60	60	60	5230	5230	5190	5190	2275	50	20	0	0	64	64	50	50	319	150000
320	400500000000 	18785	7830	8680	60	60	60	5280	5280	5220	5220	2290	50	20	0	0	64	64	50	50	320	150000
321	401000000000 	18845	7850	8705	60	60	60	5330	5330	5235	5235	2297	50	20	0	0	64	64	50	50	321	150000
322	401500000000 	18905	7870	8730	60	60	60	5380	5380	5250	5250	2304	50	20	0	0	64	64	50	50	322	150000
323	402000000000 	18965	7890	8755	60	60	60	5430	5430	5265	5265	2311	50	20	0	0	64	64	50	50	323	150000
324	402500000000 	19025	7910	8780	60	60	60	5480	5480	5280	5280	2318	50	20	0	0	64	64	50	50	324	150000
325	403000000000 	19085	7930	8805	60	60	60	5530	5530	5295	5295	2325	50	20	0	0	64	64	50	50	325	150000
326	403500000000 	19145	7950	8830	60	60	60	5580	5580	5310	5310	2332	50	20	0	0	64	64	50	50	326	150000
327	404000000000 	19205	7970	8855	60	60	60	5630	5630	5325	5325	2339	50	20	0	0	64	64	50	50	327	150000
328	404500000000 	19265	7990	8880	60	60	60	5680	5680	5340	5340	2346	50	20	0	0	64	64	50	50	328	150000
329	405000000000 	19325	8010	8905	60	60	60	5730	5730	5355	5355	2353	50	20	0	0	64	64	50	50	329	150000
330	420000000000 	19385	8030	8930	60	60	60	5780	5780	5370	5370	2360	50	20	0	0	64	64	50	50	330	150000
331	423000000000 	19445	8050	8955	60	60	60	5830	5830	5385	5385	2367	50	20	0	0	64	64	50	50	331	150000
332	426000000000 	19505	8070	8980	60	60	60	5880	5880	5400	5400	2374	50	20	0	0	64	64	50	50	332	150000
333	429000000000 	19565	8090	9005	60	60	60	5930	5930	5415	5415	2381	50	20	0	0	64	64	50	50	333	150000
334	432000000000 	19625	8110	9030	60	60	60	5980	5980	5430	5430	2388	50	20	0	0	64	64	50	50	334	150000
335	435000000000 	19685	8130	9055	60	60	60	6030	6030	5445	5445	2395	50	20	0	0	64	64	50	50	335	150000
336	439000000000 	19745	8150	9080	60	60	60	6080	6080	5460	5460	2402	50	20	0	0	64	64	50	50	336	150000
337	443000000000 	19805	8170	9105	60	60	60	6130	6130	5475	5475	2409	50	20	0	0	64	64	50	50	337	150000
338	447000000000 	19865	8190	9130	60	60	60	6180	6180	5490	5490	2416	50	20	0	0	64	64	50	50	338	150000
339	451000000000 	19925	8210	9155	60	60	60	6230	6230	5505	5505	2423	50	20	0	0	64	64	50	50	339	150000
340	455000000000 	19985	8230	9180	60	60	60	6280	6280	5520	5520	2430	50	20	0	0	64	64	50	50	340	150000
341	459000000000 	20045	8250	9205	60	60	60	6330	6330	5535	5535	2437	50	20	0	0	64	64	50	50	341	150000
342	463000000000 	20105	8270	9230	60	60	60	6380	6380	5550	5550	2444	50	20	0	0	64	64	50	50	342	150000
343	467000000000 	20165	8290	9255	60	60	60	6430	6430	5565	5565	2451	50	20	0	0	64	64	50	50	343	150000
344	471000000000 	20225	8310	9280	60	60	60	6480	6480	5580	5580	2458	50	20	0	0	64	64	50	50	344	150000
345	475000000000 	20285	8330	9305	60	60	60	6530	6530	5595	5595	2465	50	20	0	0	64	64	50	50	345	150000
346	479000000000 	20345	8350	9330	60	60	60	6580	6580	5610	5610	2472	50	20	0	0	64	64	50	50	346	150000
347	483000000000 	20405	8370	9355	60	60	60	6630	6630	5625	5625	2479	50	20	0	0	64	64	50	50	347	150000
348	487000000000 	20465	8390	9380	60	60	60	6680	6680	5640	5640	2486	50	20	0	0	64	64	50	50	348	150000
349	491000000000 	20525	8410	9405	60	60	60	6730	6730	5655	5655	2493	50	20	0	0	64	64	50	50	349	150000
350	495000000000 	20585	8430	9430	60	60	60	6780	6780	5670	5670	2500	50	20	0	0	64	64	50	50	350	150000
351	499000000000 	20645	8450	9455	60	60	60	6830	6830	5685	5685	2507	50	20	0	0	64	64	50	50	351	150000
352	503000000000 	20705	8470	9480	60	60	60	6880	6880	5700	5700	2514	50	20	0	0	64	64	50	50	352	150000
353	507000000000 	20765	8490	9505	60	60	60	6930	6930	5715	5715	2521	50	20	0	0	64	64	50	50	353	150000
354	511000000000 	20825	8510	9530	60	60	60	6980	6980	5730	5730	2528	50	20	0	0	64	64	50	50	354	150000
355	515000000000 	20885	8530	9555	60	60	60	7030	7030	5745	5745	2535	50	20	0	0	64	64	50	50	355	150000
356	519000000000 	20945	8550	9580	60	60	60	7080	7080	5760	5760	2542	50	20	0	0	64	64	50	50	356	150000
357	523000000000 	21005	8570	9605	60	60	60	7130	7130	5775	5775	2549	50	20	0	0	64	64	50	50	357	150000
358	527000000000 	21065	8590	9630	60	60	60	7180	7180	5790	5790	2556	50	20	0	0	64	64	50	50	358	150000
359	531000000000 	21125	8610	9655	60	60	60	7230	7230	5805	5805	2563	50	20	0	0	64	64	50	50	359	150000
360	535000000000 	21185	8630	9680	60	60	60	7280	7280	5820	5820	2570	50	20	0	0	64	64	50	50	360	150000
361	536100000000 	21245	8650	9705	60	60	60	7330	7330	5835	5835	2577	50	20	0	0	64	64	50	50	361	150000
362	537200000000 	21305	8670	9730	60	60	60	7380	7380	5850	5850	2584	50	20	0	0	64	64	50	50	362	150000
363	538300000000 	21365	8690	9755	60	60	60	7430	7430	5865	5865	2591	50	20	0	0	64	64	50	50	363	150000
364	539400000000 	21425	8710	9780	60	60	60	7480	7480	5880	5880	2598	50	20	0	0	64	64	50	50	364	150000
365	541000000000 	21485	8730	9805	60	60	60	7530	7530	5895	5895	2605	50	20	0	0	64	64	50	50	365	150000
366	542900000000 	21545	8750	9830	60	60	60	7580	7580	5910	5910	2612	50	20	0	0	64	64	50	50	366	150000
367	544800000000 	21605	8770	9855	60	60	60	7630	7630	5925	5925	2619	50	20	0	0	64	64	50	50	367	150000
368	546700000000 	21665	8790	9880	60	60	60	7680	7680	5940	5940	2626	50	20	0	0	64	64	50	50	368	150000
369	548600000000 	21725	8810	9905	60	60	60	7730	7730	5955	5955	2633	50	20	0	0	64	64	50	50	369	150000
370	558000000000 	21785	8830	9930	60	60	60	7780	7780	5970	5970	2640	50	20	0	0	64	64	50	50	370	150000
371	565000000000 	21845	8850	9955	60	60	60	7830	7830	5985	5985	2647	50	20	0	0	64	64	50	50	371	150000
372	567000000000 	21905	8870	9980	60	60	60	7880	7880	6000	6000	2654	50	20	0	0	64	64	50	50	372	150000
373	573000000000 	21965	8890	10005	60	60	60	7930	7930	6015	6015	2661	50	20	0	0	64	64	50	50	373	150000
374	575000000000 	22025	8910	10030	60	60	60	7980	7980	6030	6030	2668	50	20	0	0	64	64	50	50	374	150000
375	581000000000 	22085	8930	10055	60	60	60	8030	8030	6045	6045	2675	50	20	0	0	64	64	50	50	375	150000
376	588000000000 	22145	8950	10080	60	60	60	8080	8080	6060	6060	2682	50	20	0	0	64	64	50	50	376	150000
377	595000000000 	22205	8970	10105	60	60	60	8130	8130	6075	6075	2689	50	20	0	0	64	64	50	50	377	150000
378	601000000000 	22265	8990	10130	60	60	60	8180	8180	6090	6090	2696	50	20	0	0	64	64	50	50	378	150000
379	608000000000 	22325	9010	10155	60	60	60	8230	8230	6105	6105	2703	50	20	0	0	64	64	50	50	379	150000
380	617000000000 	22385	9030	10180	60	60	60	8280	8280	6120	6120	2710	50	20	0	0	64	64	50	50	380	150000
381	618000000000 	22445	9050	10205	60	60	60	8330	8330	6135	6135	2717	50	20	0	0	64	64	50	50	381	150000
382	625000000000 	22505	9070	10230	60	60	60	8380	8380	6150	6150	2724	50	20	0	0	64	64	50	50	382	150000
383	627000000000 	22565	9090	10255	60	60	60	8430	8430	6165	6165	2731	50	20	0	0	64	64	50	50	383	150000
384	634000000000 	22625	9110	10280	60	60	60	8480	8480	6180	6180	2738	50	20	0	0	64	64	50	50	384	150000
385	635000000000 	22685	9130	10305	60	60	60	8530	8530	6195	6195	2745	50	20	0	0	64	64	50	50	385	150000
386	642000000000 	22745	9150	10330	60	60	60	8580	8580	6210	6210	2752	50	20	0	0	64	64	50	50	386	150000
387	649000000000 	22805	9170	10355	60	60	60	8630	8630	6225	6225	2759	50	20	0	0	64	64	50	50	387	150000
388	656000000000 	22865	9190	10380	60	60	60	8680	8680	6240	6240	2766	50	20	0	0	64	64	50	50	388	150000
389	663000000000 	22925	9210	10405	60	60	60	8730	8730	6255	6255	2773	50	20	0	0	64	64	50	50	389	150000
390	670000000000 	22985	9230	10430	60	60	60	8780	8780	6270	6270	2780	50	20	0	0	64	64	50	50	390	150000
391	677000000000 	23045	9250	10455	60	60	60	8830	8830	6285	6285	2787	50	20	0	0	64	64	50	50	391	150000
392	684000000000 	23105	9270	10480	60	60	60	8880	8880	6300	6300	2794	50	20	0	0	64	64	50	50	392	150000
393	691000000000 	23165	9290	10505	60	60	60	8930	8930	6315	6315	2801	50	20	0	0	64	64	50	50	393	150000
394	699000000000 	23225	9310	10530	60	60	60	8980	8980	6330	6330	2808	50	20	0	0	64	64	50	50	394	150000
395	706000000000 	23285	9330	10555	60	60	60	9030	9030	6345	6345	2815	50	20	0	0	64	64	50	50	395	150000
396	708000000000 	23345	9350	10580	60	60	60	9080	9080	6360	6360	2822	50	20	0	0	64	64	50	50	396	150000
397	715000000000 	23405	9370	10605	60	60	60	9130	9130	6375	6375	2829	50	20	0	0	64	64	50	50	397	150000
398	717000000000 	23465	9390	10630	60	60	60	9180	9180	6390	6390	2836	50	20	0	0	64	64	50	50	398	150000
399	724000000000 	23525	9410	10655	60	60	60	9230	9230	6405	6405	2843	50	20	0	0	64	64	50	50	399	150000
400	5070000000000 	23585	9430	10680	60	60	60	9280	9280	6420	6420	2850	50	20	0	0	64	64	50	50	400	200000
401	5150000000000 	23645	9450	10705	60	60	60	9330	9330	6435	6435	2857	50	20	0	0	64	64	50	50	401	200000
402	5220000000000 	23705	9470	10730	60	60	60	9380	9380	6450	6450	2864	50	20	0	0	64	64	50	50	402	200000
403	5290000000000 	23765	9490	10755	60	60	60	9430	9430	6465	6465	2871	50	20	0	0	64	64	50	50	403	200000
404	5370000000000 	23825	9510	10780	60	60	60	9480	9480	6480	6480	2878	50	20	0	0	64	64	50	50	404	200000
405	5440000000000 	23885	9530	10805	60	60	60	9530	9530	6495	6495	2885	50	20	0	0	64	64	50	50	405	200000
406	5510000000000 	23945	9550	10830	60	60	60	9580	9580	6510	6510	2892	50	20	0	0	64	64	50	50	406	200000
407	5580000000000 	24005	9570	10855	60	60	60	9630	9630	6525	6525	2899	50	20	0	0	64	64	50	50	407	200000
408	5660000000000 	24065	9590	10880	60	60	60	9680	9680	6540	6540	2906	50	20	0	0	64	64	50	50	408	200000
409	5730000000000 	24125	9610	10905	60	60	60	9730	9730	6555	6555	2913	50	20	0	0	64	64	50	50	409	200000
410	5800000000000 	24185	9630	10930	60	60	60	9780	9780	6570	6570	2920	50	20	0	0	64	64	50	50	410	200000
411	5870000000000 	24245	9650	10955	60	60	60	9830	9830	6585	6585	2927	50	20	0	0	64	64	50	50	411	200000
412	5950000000000 	24305	9670	10980	60	60	60	9880	9880	6600	6600	2934	50	20	0	0	64	64	50	50	412	200000
413	6020000000000 	24365	9690	11005	60	60	60	9930	9930	6615	6615	2941	50	20	0	0	64	64	50	50	413	200000
414	6090000000000 	24425	9710	11030	60	60	60	9980	9980	6630	6630	2948	50	20	0	0	64	64	50	50	414	200000
415	6170000000000 	24485	9730	11055	60	60	60	10030	10030	6645	6645	2955	50	20	0	0	64	64	50	50	415	200000
416	6240000000000 	24545	9750	11080	60	60	60	10080	10080	6660	6660	2962	50	20	0	0	64	64	50	50	416	200000
417	6310000000000 	24605	9770	11105	60	60	60	10130	10130	6675	6675	2969	50	20	0	0	64	64	50	50	417	200000
418	6380000000000 	24665	9790	11130	60	60	60	10180	10180	6690	6690	2976	50	20	0	0	64	64	50	50	418	200000
419	6460000000000 	24725	9810	11155	60	60	60	10230	10230	6705	6705	2983	50	20	0	0	64	64	50	50	419	200000
420	0 	24785	9830	11180	60	60	60	10280	10280	6720	6720	2990	50	20	0	0	64	64	50	50	420	200000
